Name,Latitude,Longitude,OBJECTID,KGISCode,KGISWardID,DepartmentCode,KGISVillageID,KGISPOL_OPSTID,POL_OPSTName
,15.3369410002967,75.1315039999792,66,29562054758030830000HMPOLPUOFFPOP0007,,66,6689,66,"Police Outpost, Durgadbail, Old Hubli"
,18.0995850003813,77.3510540003933,67,29558054555998850000HMPOLPUOFFPOP0001,,67,2299,67,"Police Outpost, Nittur "
,17.794064999949,77.0402939996562,68,29558054545997620000HMPOLPUOFFPOP0001,,68,2196,68,"Police Outpost, Rajeshwar "
,17.5616599997127,76.5607100004583,69,29579055808032050000HMPOLPUOFFPOP0001,,69,2690,69,"Police Outpost, Jidaga, Alland Circle"
,12.9728450001601,77.5836130002813,7,29572055428031620000HMPOLPUOFFPOP0004,,7,30092,7,"Police Outpost, City Civil Court"
,17.5616599997127,76.5607100004583,70,29579055808032050000HMPOLPUOFFPOP0002,,70,2690,70,"Police Outpost, Jidaga, Alland"
,17.5227732004098,77.2958239003322,71,29579055836203340000HMPOLPUOFFPOP0001,,71,2874,71,"Police Outpost, Chimmanchod "
,17.1953833216839,77.1611333214057,72,29579055846204950000HMPOLPUOFFPOP0001,,72,3555,72,"Police Outpost, Yanagundi "
,17.0376600003743,77.2525600001985,73,29579055846205380000HMPOLPUOFFPOP0001,,73,3494,73,"Police Outpost, Kodla, Sedam "
,17.3291639997607,76.8279609995325,74,29579055828032070000HMPOLPUOFFPOP0001,,74,3351,74,"Police Outpost, Anand Hotel "
,17.3174180004377,76.8263670000151,75,29579055828032070000HMPOLPUOFFPOP0002,,75,3351,75,"Police Outpost, Station Bazar, Kalaburagi  "
,16.9104259000513,76.6992873001453,76,29579055866208140000HMPOLPUOFFPOP0001,,76,3177,76,"Police Outpost, Ijeri "
,17.1638953001404,76.7423623003405,77,29579055826203040000HMPOLPUOFFPOP0001,,77,3327,77,"Police Outpost, Hagaragundagi "
,17.3268899997695,76.8530999996479,78,29579055828032070000HMPOLPUOFFPOP0003,,78,3347,78,"Police Outpost, Basaveshwer Hospital "
,17.0624888894517,76.9815722218921,79,29579055858032130000HMPOLPUOFFPOP0001,,79,3117,79,"Police Outpost, Wadi"
,12.9924318008119,77.5927356756342,8,29572055428031620000HMPOLPUOFFPOP0005,,8,15087,8,"Police Outpost, Vasanthnagara Chowki"
,16.6299999996933,76.6899999998054,80,29580055886211010000HMPOLPUOFFPOP0001,,80,32062,80,"Police Outpost, Vanadurga "
,16.8173419998856,77.328678000121,81,29580055896212740000HMPOLPUOFFPOP0001,,81,32426,81,"Police Outpost, Kadechur "
,16.3726000001031,76.4800000003542,82,29580055876209580000HMPOLPUOFFPOP0001,,82,32347,82,"Police Outpost, Sagar "
,16.4801499999411,77.1676970001034,83,29580055886212140000HMPOLPUOFFPOP0001,,83,32164,83,"Police Outpost, Bendebembali "
,16.9044150004232,77.0667570003309,84,29580055896212290000HMPOLPUOFFPOP0001,,84,32481,84,"Police Outpost, Yargol "
,15.9114000001031,75.5123500000008,85,29556054465987210000HMPOLPUOFFPOP0001,,85,136,85,"Police Outpost, Kulageri "
,16.2196190001242,75.9140199995489,86,29556054475988530000HMPOLPUOFFPOP0001,,86,156,86,"Police Outpost, Bevoor"
,16.1818000000621,75.6585499998887,87,29556054475987950000HMPOLPUOFFPOP0001,,87,190,87,"Police Outpost, Vidyagiri, Bagalkot Town Circle"
,16.1818000000621,75.6585499998887,88,29556054475987950000HMPOLPUOFFPOP0002,,88,190,88,"Police Outpost, Vidyagiri, Navanagara "
,16.204788900034,76.0599173996157,89,29556054485989180000HMPOLPUOFFPOP0001,,89,385,89,"Police Outpost, Kudal Sangam Circle"
,12.9837094873824,77.5769080927862,9,29572055428031620000HMPOLPUOFFPOP0006,,9,30092,9,"Police Outpost, Madhavanagara Chowki"
,15.9393229998689,75.9167140004351,90,29556054485990280000HMPOLPUOFFPOP0001,,90,319,90,"Police Outpost, Gudur Sc Village"
,16.204788900034,76.0599173996157,91,29556054485989180000HMPOLPUOFFPOP0002,,91,385,91,"Police Outpost, Kudal Sangam"
,16.4775900002344,75.1110799996322,92,29556054435984160000HMPOLPUOFFPOP0001,,92,530,92,"Police Outpost, Rabakavi "
,16.4186799997306,75.4370699996513,93,29556054445984740000HMPOLPUOFFPOP0001,,93,286,93,"Police Outpost, Galagali "
,16.5716038001911,75.0873955996221,94,29555054345973170000HMPOLPUOFFPOP0001,,94,681,94,"Police Outpost, Satti  "
,16.8583299996019,75.043859999628,95,29555054345972610000HMPOLPUOFFPOP0001,,95,654,95,"Police Outpost, Kallutti "
,16.3871199996792,75.1953899997623,96,29556054455985510000HMPOLPUOFFPOP0001,,96,629,96,"Police Outpost, Mugalkhod "
,15.7961010001005,74.761325999671,97,29555054405980680000HMPOLPUOFFPOP0001,,97,864,97,"Police Outpost, Sampagoan "
,15.7949867999249,74.7614445996449,98,29555054405980680000HMPOLPUOFFPOP0002,,98,864,98,"Police Outpost, M K Hubballi"
,16.4243420003553,74.5756610004549,99,29555054338030230000HMPOLPUOFFPOP0001,,99,1040,99,"Police Outpost, Kabbur"
