district,crime_type,latitude,longitude,date,time
Banashankari,attempted murder,12.90759817,77.53481056,2016-01-31 00:00:00.000,10:00:00
Banashankari,attempted murder,12.91273921,77.54878858,2016-02-22 00:00:00.000,08:15:00
Banashankari,attempted murder,12.90944142,77.55721452,2016-02-24 00:00:00.000,
Banashankari,attempted murder,12.90913455,77.55325268,2016-02-29 00:00:00.000,17:40PM
Banashankari,attempted murder,12.90862205,77.55531561,2016-07-03 00:00:00.000,22:45PM
Banashankari,attempted murder,12.88867402,77.57312221,2016-03-30 00:00:00.000,12:15:00
Banashankari,attempted murder,12.88867402,77.57312221,2016-07-04 00:00:00.000,14:35PM
Banashankari,attempted murder,12.9046755,77.53001756,2016-06-25 00:00:00.000,20:00PM
Banashankari,attempted murder,12.89572496,77.5719447,2016-07-08 00:00:00.000,20:45PM
Banashankari,attempted murder,12.88812763,77.58114661,2016-09-10 00:00:00.000,
Banashankari,attempted murder,12.91134545,77.53812371,2016-11-17 00:00:00.000,
Banashankari,attempted murder,12.89246857,77.57540769,2016-11-21 00:00:00.000,
Banashankari,attempted murder,12.91102435,77.53917778,2017-06-06 00:00:00.000,23:45PM
Banashankari,attempted murder,12.89900112,77.544042,2017-09-15 00:00:00.000,10:00:00
Banashankari,attempted murder,12.90827601,77.55022679,2017-04-10 00:00:00.000,22:15PM
Banashankari,attempted murder,12.91422266,77.53929427,2017-08-10 00:00:00.000,21:30PM
Banashankari,attempted murder,12.8997408,77.54951691,2017-08-12 00:00:00.000,07:30:00
Banashankari,attempted murder,12.91739661,77.54533797,2018-04-02 00:00:00.000,18:15PM
Banashankari,attempted murder,12.91022894,77.5481594,2018-02-28 00:00:00.000,18:02PM
Banashankari,attempted murder,12.90471042,77.54488816,2018-04-14 00:00:00.000,13:45:00
Banashankari,attempted murder,12.90988782,77.557636075,2018-08-12 00:00:00.000,21:00PM
Banashankari,attempted murder,12.9057223,77.53558126,2019-01-14 00:00:00.000,12:15:00
Banashankari,attempted murder,12.88520621,77.56866459,2019-02-18 00:00:00.000,10:30:00
Banashankari,attempted murder,12.904425,77.528388,2019-03-13 00:00:00.000,08:00:00
Banashankari,attempted murder,12.89062558,77.56405571,2019-03-04 00:00:00.000,21:00PM
Banashankari,attempted murder,12.9144943,77.55021425,2019-08-03 00:00:00.000,
Banashankari,attempted murder,12.9057223,77.53558126,2019-10-25 00:00:00.000,00:45:00
Banashankari,attempted murder,12.885536,77.542507,2015-02-01 00:00:00.000,13:15:00
Banashankari,attempted murder,12.870927,77.536764,2015-03-20 00:00:00.000,21:00:00
Banashankari,attempted murder,12.891626,77.496854,2015-05-04 00:00:00.000,21:00:00
Banashankari,attempted murder,12.862772,77.531239,2015-05-14 00:00:00.000,14:00:00
Banashankari,attempted murder,12.876155,77.53255,2015-09-17 00:00:00.000,20:30:00
Banashankari,attempted murder,12.872936,77.528647,2015-10-15 00:00:00.000,09:30:00
Banashankari,attempted murder,12.874927,77.542694,2016-03-30 00:00:00.000,17:00:00
Banashankari,attempted murder,12.870315,77.5375,2019-06-29 00:00:00.000,11:00:00
Banashankari,attempted murder,12.872491,77.5607410,2016-08-08 00:00:00.000,15:00:00
Banashankari,attempted murder,12.872491,77.5607410,2016-08-08 00:00:00.000,15:30:00
Banashankari,attempted murder,12.876095,77.546538,2016-09-28 00:00:00.000,13:00:00
Banashankari,attempted murder,12.879245,77.512528,2016-11-25 00:00:00.000,00:15:00
Banashankari,attempted murder,12.891048,77.542411,2016-11-28 00:00:00.000,17:00:00
Banashankari,attempted murder,12.88374,77.501315,2016-03-12 00:00:00.000,07:00:00
Banashankari,attempted murder,12.856318,77.559623,2017-01-02 00:00:00.000,22:30:00
Banashankari,attempted murder,12.895099,77.542102,2017-02-27 00:00:00.000,23:15:00
Banashankari,attempted murder,12.869881,77.525669,2017-11-04 00:00:00.000,01:00:00
Banashankari,attempted murder,12.868478,77.521805,2017-05-17 00:00:00.000,13:30:00
Banashankari,attempted murder,12.877804,77.533739,2017-10-06 00:00:00.000,14:45:00
Banashankari,attempted murder,12.863084,77.526325,2017-08-16 00:00:00.000,10:30:00
Banashankari,attempted murder,12.880893,77.543751,2017-11-19 00:00:00.000,12:10:00
Banashankari,attempted murder,12.874507,77.529564,2017-11-26 00:00:00.000,22:00:00
Banashankari,attempted murder,12.853218,77.553667,2018-11-02 00:00:00.000,12:00:00
Banashankari,attempted murder,12.881532,77.511282,2018-01-04 00:00:00.000,08:30:00
Banashankari,attempted murder,12.877385,77.534077,2018-06-18 00:00:00.000,21:15:00
Banashankari,attempted murder,12.867237,77.535278,2018-11-09 00:00:00.000,23:30:00
Banashankari,attempted murder,12.878813,77.482329,2018-10-26 00:00:00.000,13:00:00
Banashankari,attempted murder,12.85092,77.557048,2018-11-22 00:00:00.000,18:30:00
Banashankari,attempted murder,12.880754,77.549448,2019-07-04 00:00:00.000,03:45:00
Banashankari,attempted murder,12.895797,77.536992,2019-04-09 00:00:00.000,18:30:00
Banashankari,attempted murder,12.865399,77.520688,2019-05-09 00:00:00.000,06:30:00
Banashankari,attempted murder,12.865652,77.516896,2019-09-17 00:00:00.000,14:00:00
Banashankari,attempted murder,12.881457,77.573157,2017-05-31 00:00:00.000,09:00:00
Banashankari,attempted murder,12.85708,77.577065,2017-02-07 00:00:00.000,12:30:00
